distance_km, height_m, lat, lng
2.113, 576.7, 48.10677822336132, 13.650546756216045
2.133, 578.1, 48.10681624993158, 13.650277801500579
2.153, 579.6, 48.10685427587429, 13.650008846387209
2.173, 581.1, 48.10689230118944, 13.649739890875821
2.194, 582.8, 48.10693032587704, 13.64947093496653
2.214, 584.6, 48.10696834993709, 13.649201978659221
2.234, 585.2, 48.10700637336958, 13.648933021954008
2.255, 585.6, 48.10704439617452, 13.648664064850777
2.275, 586.1, 48.1070824183519, 13.648395107349643
2.295, 586.6, 48.10710760646059, 13.648124597768629
2.316, 587.1, 48.10709888895648, 13.647849988678331
2.336, 586.9, 48.10709017079817, 13.64757537968103
2.356, 586.2, 48.10706197631922, 13.64730375402894
2.377, 585.4, 48.10703339204179, 13.64703218828754
2.397, 584.3, 48.10700480712456, 13.646760622848092
2.417, 583.1, 48.10697622156755, 13.646489057710824
2.438, 581.8, 48.10694763537074, 13.646217492875621
2.458, 580.6, 48.10691904853416, 13.645945928342485
2.478, 579.3, 48.10689046105778, 13.645674364111528
2.498, 577.9, 48.10686509912178, 13.645402192056736
2.519, 576.8, 48.10684785901062, 13.645128489165472
2.539, 575.5, 48.10683061824956, 13.6448547864577
2.559, 574.1, 48.1068133768386, 13.644581083933645
2.58, 572.7, 48.10679613477775, 13.64430738159308
2.6, 572.3, 48.10680187972964, 13.644033792268146
2.62, 571.9, 48.10682032008103, 13.643760265131277
2.641, 571.7, 48.10683875978334, 13.643486737798185
2.661, 571.9, 48.10687982239578, 13.643222400655532
2.681, 572.5, 48.10695620809008, 13.64297241249426
2.702, 573.2, 48.10703259324222, 13.64272242358993
2.722, 573.9, 48.1071095484519, 13.64247282843371
2.742, 574.7, 48.10718705072032, 13.642223611117174
2.763, 575.6, 48.10726455244992, 13.64197439304894
2.783, 576.3, 48.10734205364068, 13.641725174229123
2.803, 577.1, 48.10741955429263, 13.641475954657722
2.823, 578, 48.10749705440574, 13.641226734334623
2.844, 578.7, 48.10757455398002, 13.64097751325994
2.864, 579.6, 48.1076526838513, 13.640728733747324
2.884, 580.4, 48.10770664878806, 13.64046848545945
2.905, 580.5, 48.10764923158974, 13.64022923155369
2.925, 579.9, 48.10747824595654, 13.640141951832447
2.945, 579.3, 48.10729664993367, 13.64010269485243
2.966, 578.8, 48.10711454235952, 13.640068007442778
2.986, 578.6, 48.10693243477495, 13.640033320279144
3.006, 578.6, 48.10675032717992, 13.639998633361188
3.027, 578.7, 48.10656913590017, 13.639957139935177
3.047, 579.1, 48.10640043584598, 13.639853696478099
3.067, 579.6, 48.10624888370473, 13.639699221065257
3.088, 580.1, 48.10610213106212, 13.639534292342432
3.108, 580.1, 48.10596264245671, 13.6393555704542
3.128, 580, 48.10582315357421, 13.639176849535943
3.148, 579.7, 48.10568366441461, 13.63899812958789
3.169, 578.9, 48.10554417497789, 13.638819410609813
3.189, 578.5, 48.10540639759943, 13.63863776466178
3.209, 578, 48.10526970726819, 13.638454260440767
3.23, 577.5, 48.10513301664483, 13.638270757195642
3.25, 577.2, 48.10499632572932, 13.638087254926745
3.27, 577.8, 48.10485963452169, 13.637903753633736
3.291, 578.5, 48.10472399030946, 13.637718557433573
3.311, 579.4, 48.10459611193157, 13.63752222378207
3.331, 580.7, 48.10450016920814, 13.637288812678435
3.352, 582.3, 48.10444528800434, 13.637027118786364
3.372, 583.8, 48.10439456203166, 13.636762917394663
3.392, 584.4, 48.10434383545342, 13.636498716524557
3.413, 584.9, 48.10429310826961, 13.636234516175818
3.433, 585.4, 48.10423821222611, 13.635972671935974
3.453, 585.8, 48.10414966232747, 13.6357328699022
3.473, 586, 48.10404507009751, 13.635506950104968
3.494, 586.2, 48.10394047742476, 13.635281031227237
3.514, 586.4, 48.10383427586693, 13.635056802406666
3.534, 586.3, 48.10372806649735, 13.634832582258241
3.555, 586.2, 48.10362185669162, 13.634608363036364
3.575, 585.3, 48.10348546981396, 13.634432221877546
3.595, 583.9, 48.10331979382895, 13.634315586514958
3.616, 582.2, 48.10315569421139, 13.634193950386361
3.636, 581.2, 48.10304292102064, 13.633979661946114
3.656, 581, 48.10296000007194, 13.633743499191041
3.677, 581.8, 48.10296000002675, 13.633468602105495
3.697, 582.1, 48.10292936519044, 13.633197844101801
3.717, 582.5, 48.10289650626749, 13.632927386850383
3.738, 582.7, 48.10286364670996, 13.632656929944687
3.758, 582.7, 48.10283078651784, 13.632386473384713
3.778, 582.9, 48.10280666427185, 13.63211396856218
3.798, 582.7, 48.10278275566875, 13.631841413758252
3.819, 582, 48.10273400629774, 13.631576743351388
3.839, 581.1, 48.10268202036418, 13.631313100539842
3.859, 580.1, 48.10264138581686, 13.631047341809563
3.88, 579.8, 48.10264861429601, 13.630772659602258
3.9, 579.7, 48.10268176281784, 13.630502955438715
3.92, 579.1, 48.10272262668414, 13.63023498467851
3.941, 578.6, 48.10276749382631, 13.629968425663606
3.961, 577.8, 48.10281236035205, 13.629701866183268
3.981, 576.9, 48.10285722626136, 13.629435306237724
4.002, 576.3, 48.10291643446568, 13.629176123795787
4.022, 575.6, 48.10299042782096, 13.628924546442818
4.042, 575, 48.10307759624825, 13.628683824679456
4.063, 574.2, 48.10317991168755, 13.628455583130972
4.083, 572.9, 48.1032822266749, 13.628227340673902
4.103, 571.8, 48.10339784054604, 13.628013927751908
4.123, 570.6, 48.10351454751386, 13.627801733247907
4.144, 569.3, 48.10363202357152, 13.627590543997712
4.164, 568.1, 48.10375670939216, 13.627388782164417
4.184, 567, 48.10388139485963, 13.627187019352277
4.205, 566.4, 48.10400607997394, 13.626985255561294
4.225, 565.8, 48.10413076473508, 13.626783490791581
4.245, 565, 48.10423922008029, 13.626562681904261
4.266, 564, 48.1043362461095, 13.626329384750761
4.286, 562.2, 48.10436377751912, 13.626058447656419
4.306, 560.6, 48.10441546833718, 13.625801463301968
4.327, 559.6, 48.10451830857036, 13.625573745329575
4.347, 558.5, 48.10463693187428, 13.625363977805137
4.367, 557.1, 48.10475977530637, 13.625160299785875
4.388, 555.7, 48.10489688055047, 13.624977492860012
4.408, 554.2, 48.10502576813362, 13.624782100089078
4.428, 552.3, 48.10515088534567, 13.62458093255475
4.448, 550.3, 48.10527600220662, 13.624379764040896
4.469, 548.9, 48.10540111871649, 13.624178594547743
4.489, 547.4, 48.10550683459294, 13.623955728072133
4.509, 546, 48.1056007743525, 13.623719548908184
4.53, 545.6, 48.1056971280906, 13.62348554994594
4.55, 545.5, 48.10579348135367, 13.62325155010626
4.57, 545.6, 48.10588983414173, 13.623017549389374
4.591, 546.4, 48.10598618645474, 13.622783547795052
4.611, 547.2, 48.10608602505306, 13.622552860535393
4.631, 547.8, 48.10618644673091, 13.62232272720803
4.652, 548.2, 48.10627271336824, 13.622081414468767
4.672, 548.7, 48.1063347075898, 13.621823305214775
4.692, 549.3, 48.10637990993829, 13.62155685449784
4.713, 550.4, 48.10642511167086, 13.621290403312287
4.733, 551.5, 48.10647031278751, 13.621023951658117
4.753, 552.7, 48.10651669727279, 13.620758002234652
4.773, 554, 48.1065716039659, 13.620495670930836
4.794, 555.2, 48.10663709374842, 13.620239445970014
4.814, 556.1, 48.10671391954225, 13.619989761634542
4.834, 557, 48.10678883747402, 13.619738781769001
